Mã KH,LSX,PI,Mô tả Sản Phẩm,LOẠI ĐÁ,Kích thước ,L,L2,W,W2,H,H2,CÁCH GIA CÔNG,KHU VỰC,ỨNG DỤNG,Đơn giá,usd_pc,usd_m2,usd_m3,usd_ton,Pcs
,,,,,,,0.0,,0.0,,0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
X87,05062025 (Quotation),Quotation,"BAZAN XÁM, Đá lát",BAZAN XÁM,150-22060-665,150,220.0,60.0,66.0,5.0,,ĐỐT CHẢI,8.0,SLAB,,,81,,,
X87,05062025 (Quotation),Quotation,"BAZAN XÁM, Veener-Đốt chải",BAZAN XÁM,"56,220,32",56.2,,20.3,,2.0,,ĐỐT CHẢI,8.0,SLAB,,,39,,,
X87,05062025 (Quotation),Quotation,"BAZAN XÁM, Veener-Đốt chải",BAZAN XÁM,"56,235,62",56.2,,35.6,,2.0,,ĐỐT CHẢI,8.0,SLAB,,,39,,,
X87,05062025 (Quotation),Quotation,"BAZAN XÁM, Veener-Đốt chải",BAZAN XÁM,"56,245,72",56.2,,45.7,,2.0,,ĐỐT CHẢI,8.0,SLAB,,,42.5,,,
X87,05062025 (Quotation),Quotation,"BAZAN XÁM, Veener-Đốt chải",BAZAN XÁM,"63,556,22",63.5,,56.2,,2.0,,ĐỐT CHẢI,8.0,SLAB,,,42.5,,,
X87,05062025 (Quotation),Quotation,"BAZAN XÁM, Veener-Đốt chải",BAZAN XÁM,"116,856,22",116.8,,56.2,,2.0,,ĐỐT CHẢI,8.0,SLAB,,,46,,,
X87,05062025 (Quotation),Quotation,"BAZAN XÁM, Veener-Đốt chải",BAZAN XÁM,"152,456,22",152.4,,56.2,,2.0,,ĐỐT CHẢI,8.0,SLAB,,,49.5,,,
X87,05062025 (Quotation),Quotation,"BAZAN XÁM, Veener-Đốt chải",BAZAN XÁM,"81,345,72",81.3,,45.7,,2.0,,ĐỐT CHẢI,8.0,SLAB,,,42.5,,,
